"index","unique_id","ds","model_label","cutoff","y","forecast","lower","upper","partition","model_name"
"110","1","2024-11-27T12:00:00.000","enet","2024-11-27T11:00:00.000","430520","423880.21875","412380.3","435380.1375","3","ElasticNet"
"111","1","2024-11-27T12:00:00.000","knn","2024-11-26T11:00:00.000","430520","418668.1875","379531.78125","457804.59375","1","KNeighborsRegressor"
"112","1","2024-11-27T12:00:00.000","knn","2024-11-26T23:00:00.000","430520","413881","378671.94296875","449090.05703125","2","KNeighborsRegressor"
"113","1","2024-11-27T12:00:00.000","knn","2024-11-27T11:00:00.000","430520","439483.59375","431443.0203125","447524.1671875","3","KNeighborsRegressor"
"114","1","2024-11-27T12:00:00.000","mlp","2024-11-26T11:00:00.000","430520","404216.625","357924.190625","450509.059375","1","MLPRegressor"
"115","1","2024-11-27T12:00:00.000","mlp","2024-11-26T23:00:00.000","430520","443251.9375","338569.603125","547934.271875","2","MLPRegressor"
"116","1","2024-11-27T12:00:00.000","mlp","2024-11-27T11:00:00.000","430520","419884.46875","407819.6234375","431949.3140625","3","MLPRegressor"
"117","1","2024-11-27T13:00:00.000","enet","2024-11-26T11:00:00.000","450555","432898.21875","386316.72734375","479479.71015625","1","ElasticNet"
"118","1","2024-11-27T13:00:00.000","enet","2024-11-26T23:00:00.000","450555","445775.375","410151.3375","481399.4125","2","ElasticNet"
"119","1","2024-11-27T13:00:00.000","enet","2024-11-27T11:00:00.000","450555","437442.40625","413979.059375","460905.753125","3","ElasticNet"
"120","1","2024-11-27T13:00:00.000","knn","2024-11-26T11:00:00.000","450555","443305.40625","390139.82734375","496470.98515625","1","KNeighborsRegressor"
"121","1","2024-11-27T13:00:00.000","knn","2024-11-26T23:00:00.000","450555","445233.8125","396061.22578125","494406.39921875","2","KNeighborsRegressor"
"122","1","2024-11-27T13:00:00.000","knn","2024-11-27T11:00:00.000","450555","464106.8125","452779.34140625","475434.28359375","3","KNeighborsRegressor"
"123","1","2024-11-27T13:00:00.000","mlp","2024-11-26T11:00:00.000","450555","413141.90625","351505.76484375","474778.04765625","1","MLPRegressor"
"124","1","2024-11-27T13:00:00.000","mlp","2024-11-26T23:00:00.000","450555","457913.25","341622.22890625","574204.27109375","2","MLPRegressor"
"125","1","2024-11-27T13:00:00.000","mlp","2024-11-27T11:00:00.000","450555","427682.65625","405156.8703125","450208.4421875","3","MLPRegressor"
"126","1","2024-11-27T14:00:00.000","enet","2024-11-26T11:00:00.000","461751","443473.34375","398888.190625","488058.496875","1","ElasticNet"
"127","1","2024-11-27T14:00:00.000","enet","2024-11-26T23:00:00.000","461751","458050.6875","424771.590625","491329.784375","2","ElasticNet"
"128","1","2024-11-27T14:00:00.000","enet","2024-11-27T11:00:00.000","461751","448423.65625","424592.5359375","472254.7765625","3","ElasticNet"
"129","1","2024-11-27T14:00:00.000","knn","2024-11-26T11:00:00.000","461751","449731.40625","391615.98828125","507846.82421875","1","KNeighborsRegressor"
"130","1","2024-11-27T14:00:00.000","knn","2024-11-26T23:00:00.000","461751","456883","400705.9953125","513060.0046875","2","KNeighborsRegressor"
"131","1","2024-11-27T14:00:00.000","knn","2024-11-27T11:00:00.000","461751","482431.1875","472134.56796875","492727.80703125","3","KNeighborsRegressor"
"132","1","2024-11-27T14:00:00.000","mlp","2024-11-26T11:00:00.000","461751","421140","357823.05","484456.95","1","MLPRegressor"
"133","1","2024-11-27T14:00:00.000","mlp","2024-11-26T23:00:00.000","461751","471302.15625","357588.36875","585015.94375","2","MLPRegressor"
"134","1","2024-11-27T14:00:00.000","mlp","2024-11-27T11:00:00.000","461751","432001.84375","412029.63828125","451974.04921875","3","MLPRegressor"
"135","1","2024-11-27T15:00:00.000","enet","2024-11-26T11:00:00.000","465722","452525.59375","415348.221875","489702.965625","1","ElasticNet"
"136","1","2024-11-27T15:00:00.000","enet","2024-11-26T23:00:00.000","465722","465554.09375","438085.4078125","493022.7796875","2","ElasticNet"
"137","1","2024-11-27T15:00:00.000","enet","2024-11-27T11:00:00.000","465722","455297.5625","434427.54921875","476167.57578125","3","ElasticNet"
"138","1","2024-11-27T15:00:00.000","knn","2024-11-26T11:00:00.000","465722","454813.40625","390698.971875","518927.840625","1","KNeighborsRegressor"
"139","1","2024-11-27T15:00:00.000","knn","2024-11-26T23:00:00.000","465722","465719.59375","413222.7734375","518216.4140625","2","KNeighborsRegressor"
"140","1","2024-11-27T15:00:00.000","knn","2024-11-27T11:00:00.000","465722","491317.8125","480710.03828125","501925.58671875","3","KNeighborsRegressor"
"141","1","2024-11-27T15:00:00.000","mlp","2024-11-26T11:00:00.000","465722","427563.3125","368518.62109375","486608.00390625","1","MLPRegressor"
"142","1","2024-11-27T15:00:00.000","mlp","2024-11-26T23:00:00.000","465722","480092.65625","374567.03046875","585618.28203125","2","MLPRegressor"
"143","1","2024-11-27T15:00:00.000","mlp","2024-11-27T11:00:00.000","465722","432408.5","417607.378125","447209.621875","3","MLPRegressor"
"144","1","2024-11-27T16:00:00.000","enet","2024-11-26T11:00:00.000","467407","459985.28125","430794.575","489175.9875","1","ElasticNet"
"145","1","2024-11-27T16:00:00.000","enet","2024-11-26T23:00:00.000","467407","469068.78125","446741.27578125","491396.28671875","2","ElasticNet"
"146","1","2024-11-27T16:00:00.000","enet","2024-11-27T11:00:00.000","467407","459197","441799.26953125","476594.73046875","3","ElasticNet"
