"index","unique_id","ds","cutoff","y","knn","mlp","enet","knn-lo-95","knn-hi-95","mlp-lo-95","mlp-hi-95","enet-lo-95","enet-hi-95"
"77","1","2024-11-27T05:00:00.000","2024-11-26T23:00:00.000","442481","434008.8125","455625.09375","442851.3125","421080.93125","446936.69375","419611.0328125","491639.1546875","435199.059375","450503.565625"
"78","1","2024-11-27T06:00:00.000","2024-11-26T23:00:00.000","428789","418179.8125","438872.5","425780.96875","404708.50078125","431651.12421875","391330.9109375","486414.0890625","417111.125","434450.8125"
"79","1","2024-11-27T07:00:00.000","2024-11-26T23:00:00.000","416590","406561.8125","424635.84375","411648.53125","390775.28203125","422348.34296875","364845.15546875","484426.53203125","399702.434375","423594.628125"
"80","1","2024-11-27T08:00:00.000","2024-11-26T23:00:00.000","408559","396924","415458.21875","401663.53125","379388.01953125","414459.98046875","345589.6375","485326.8","386513.00234375","416814.06015625"
"81","1","2024-11-27T09:00:00.000","2024-11-26T23:00:00.000","404818","392742.59375","412693.84375","397622.8125","371042.7125","414442.475","335068.9109375","490318.7765625","380417.80546875","414827.81953125"
"82","1","2024-11-27T10:00:00.000","2024-11-26T23:00:00.000","405474","389475.40625","417158.90625","401764.6875","365333.7359375","413617.0765625","334510.04921875","499807.76328125","385524.54140625","418004.83359375"
"83","1","2024-11-27T11:00:00.000","2024-11-26T23:00:00.000","411819","396537.1875","428409.9375","413726.21875","368831.11953125","424243.25546875","339267.834375","517552.040625","397986.4125","429466.025"
"84","1","2024-11-27T12:00:00.000","2024-11-26T23:00:00.000","430520","413881","443251.9375","429836.96875","378671.94296875","449090.05703125","338569.603125","547934.271875","404041.690625","455632.246875"
"85","1","2024-11-27T13:00:00.000","2024-11-26T23:00:00.000","450555","445233.8125","457913.25","445775.375","396061.22578125","494406.39921875","341622.22890625","574204.27109375","410151.3375","481399.4125"
"86","1","2024-11-27T14:00:00.000","2024-11-26T23:00:00.000","461751","456883","471302.15625","458050.6875","400705.9953125","513060.0046875","357588.36875","585015.94375","424771.590625","491329.784375"
"87","1","2024-11-27T15:00:00.000","2024-11-26T23:00:00.000","465722","465719.59375","480092.65625","465554.09375","413222.7734375","518216.4140625","374567.03046875","585618.28203125","438085.4078125","493022.7796875"
"88","1","2024-11-27T16:00:00.000","2024-11-26T23:00:00.000","467407","469186","484429.59375","469068.78125","418379.68984375","519992.31015625","387950.16796875","580909.01953125","446741.27578125","491396.28671875"
"89","1","2024-11-27T17:00:00.000","2024-11-26T23:00:00.000","467932","468501.1875","484666.8125","469714.96875","427789.30859375","509213.06640625","431636.60078125","537697.02421875","450939.02265625","488490.91484375"
"90","1","2024-11-27T18:00:00.000","2024-11-26T23:00:00.000","467581","467498.40625","483498.75","468597.25","434371.9078125","500624.9046875","401043.971875","565953.528125","454106.58203125","483087.91796875"
"91","1","2024-11-27T19:00:00.000","2024-11-26T23:00:00.000","468461","466574.1875","481998.03125","466648.75","446719.1859375","486429.1890625","403720.396875","560275.665625","453776.6765625","479520.8234375"
"92","1","2024-11-27T20:00:00.000","2024-11-26T23:00:00.000","469307","468507.8125","483011.78125","466153","455205.0234375","481810.6015625","409738.39765625","556285.16484375","455649.79765625","476656.20234375"
"93","1","2024-11-27T21:00:00.000","2024-11-26T23:00:00.000","470896","467695.59375","486917.59375","469154.8125","456208.10703125","479183.08046875","418283.59140625","555551.59609375","462301.0421875","476008.5828125"
"94","1","2024-11-27T22:00:00.000","2024-11-26T23:00:00.000","475183","468484.40625","493314.6875","475022.40625","455703.6375","481265.175","425646.175","560983.2","469167.2515625","480877.5609375"
"95","1","2024-11-27T23:00:00.000","2024-11-26T23:00:00.000","482886","472792.59375","501417.625","482457.5625","456383.15625","489202.03125","428355.65703125","574479.59296875","472057.8375","492857.2875"
"96","1","2024-11-28T00:00:00.000","2024-11-26T23:00:00.000","485979","477366.40625","508738.625","488102.96875","457836.015625","496896.796875","430417.48671875","587059.76328125","473269.29140625","502936.64609375"
"97","1","2024-11-28T01:00:00.000","2024-11-26T23:00:00.000","482472","477000.59375","512842.03125","489856.0625","456703.71171875","497297.47578125","434268.64453125","591415.41796875","474834.08359375","504878.04140625"
"98","1","2024-11-28T02:00:00.000","2024-11-26T23:00:00.000","475998","472285.8125","511756.1875","485965.53125","452036.825","492534.8","432225.82734375","591286.54765625","469658.821875","502272.240625"
"99","1","2024-11-28T03:00:00.000","2024-11-26T23:00:00.000","466428","463336","505227.40625","476167.59375","441185.3703125","485486.6296875","423592.01796875","586862.79453125","456666.815625","495668.371875"
"100","1","2024-11-28T04:00:00.000","2024-11-26T23:00:00.000","452025","449044.40625","493144.875","461679.84375","427819.2203125","470269.5921875","409910.375","576379.375","440903.60234375","482456.08515625"
"101","1","2024-11-28T05:00:00.000","2024-11-26T23:00:00.000","435245","431906","477760.6875","444718.53125","408831.51015625","454980.48984375","389929.9359375","565591.4390625","422640.503125","466796.559375"
"102","1","2024-11-28T06:00:00.000","2024-11-26T23:00:00.000","417564","416364.40625","461554.375","427780.125","389291.2609375","443437.5515625","364366.94140625","558741.80859375","402584.659375","452975.590625"
"103","1","2024-11-28T07:00:00.000","2024-11-26T23:00:00.000","404890","404137.40625","447729.25","413343.3125","373594.33828125","434680.47421875","337386.12421875","558072.37578125","383382.98359375","443303.64140625"
