unique_id,ds,cutoff,y,lightGBM,xgboost,linear_regression,lasso,ridge,lightGBM-lo-95,lightGBM-hi-95,xgboost-lo-95,xgboost-hi-95,linear_regression-lo-95,linear_regression-hi-95,lasso-lo-95,lasso-hi-95,ridge-lo-95,ridge-hi-95
1,2024-04-15 12:00:00,2024-04-13 23:00:00,392970.82,404177.69827638543,398672.38,369784.0442826684,369952.7050868117,369784.04292555107,385006.6947369138,423348.7018158571,355945.77900000004,441398.971,344314.17946705606,395253.9090982807,344817.6527077368,395087.75746588653,344313.8944293092,395254.19142179296
1,2024-04-15 13:00:00,2024-04-13 23:00:00,405841.26,414441.70107140666,414187.1,377411.54492987413,377197.2590462651,377411.540067045,397353.7368582164,431529.6652845969,372101.3919375,456272.7955625,353819.447889927,401003.64196982124,354502.1185114547,399892.3995810755,353819.0902323979,401003.9899016922
1,2024-04-15 14:00:00,2024-04-13 23:00:00,415431.07,420698.7727489574,421792.47,384059.9416109848,383757.5678079302,384059.9295384199,404138.2188382524,437259.32665966236,385185.21690625,458399.72059375,363748.94346599374,404370.93975597585,364127.7852186359,403387.3503972244,363748.5829401626,404371.27613667713
1,2024-04-15 15:00:00,2024-04-13 23:00:00,425308.08,429417.35321814916,426126.75,389382.8474779357,389150.02222408814,389382.82712436,413664.53489977366,445170.17153652466,392523.856625,459729.643375,372166.4207722666,406599.27418360487,372767.34725567803,405532.69719249825,372166.1523147176,406599.50193400244
1,2024-04-15 16:00:00,2024-04-13 23:00:00,433845.51,433888.43657879427,428637.3,393585.79931486736,393275.44407835614,393585.7735436809,418030.01752490614,449746.8556326824,398332.25859375,458942.36640625005,374974.68737757,412196.9112521647,375551.79582333035,410999.09233338194,374974.41886082676,412197.12822653505
1,2024-04-15 17:00:00,2024-04-13 23:00:00,442794.79,435005.2254393548,432472.1,396959.75231617293,396603.0691071574,396959.7251280695,419043.5893938565,450966.861484853,405830.07103125,459114.11646875,375805.1121490108,418114.39248333505,376169.34064135025,417036.79757296457,375804.9837012964,418114.46655484266
1,2024-04-15 18:00:00,2024-04-13 23:00:00,453024.27,436496.72397874296,432975.7,400349.87924327573,400083.61469886824,400349.8551405451,417265.80699988705,455727.64095759887,407701.0539375,458250.3210625,375655.2009990154,425044.5574875361,375594.71920114127,424572.5101965952,375655.07861543266,425044.63166565757
1,2024-04-15 19:00:00,2024-04-13 23:00:00,461699.19,439463.06108541414,434871.4,404653.4056389589,404515.02500644507,404653.3871329844,417122.6241027989,461803.4980680294,410161.9144375,459580.8980625,376404.92925588036,432901.88202203746,376225.7160581534,432804.3339547367,376404.8114029576,432901.9628630112
1,2024-04-15 20:00:00,2024-04-13 23:00:00,470011.97,441140.5755454383,437078.1,410316.67748849816,410100.12625100976,410316.6638103583,417590.65357527015,464690.4975156064,415252.816375,458903.371125,378865.81907451025,441767.53590248607,378515.21900811646,441685.03349390306,378865.70106013806,441767.6265605786
1,2024-04-15 21:00:00,2024-04-13 23:00:00,478533.56,443995.9176204272,440350.8,416859.7124749327,416443.44369891955,416859.7053209297,421904.5494452423,466087.28579561214,420256.55271874997,460445.07228125003,384120.75502978906,449598.6699200764,383440.1392165504,449446.7481812887,384120.63689095055,449598.77375090885
1,2024-04-15 22:00:00,2024-04-13 23:00:00,484769.14,446818.263343374,445090.4,423522.40243976197,422957.15967894555,423522.399873091,426408.0194298484,467228.5072568996,425171.52406250004,465009.28843749996,389955.3081056835,457089.49677384045,389132.5683671004,456781.7509907907,389955.1868361057,457089.61291007634
