index,respondent,type,value,value-units,y
2019-01-09 16:00:00,US48,D,478268,megawatthours,478268.0
2019-01-09 17:00:00,US48,D,473769,megawatthours,473769.0
2019-01-09 18:00:00,US48,D,468367,megawatthours,468367.0
2019-01-09 19:00:00,US48,D,464647,megawatthours,464647.0
2019-01-09 20:00:00,US48,D,460980,megawatthours,460980.0
2019-01-09 21:00:00,US48,D,459845,megawatthours,459845.0
2019-01-09 22:00:00,US48,D,465290,megawatthours,465290.0
2019-01-09 23:00:00,US48,D,481463,megawatthours,481463.0
2019-01-10 00:00:00,US48,D,500511,megawatthours,500511.0
2019-01-10 01:00:00,US48,D,509862,megawatthours,509862.0
2019-01-10 02:00:00,US48,D,511314,megawatthours,511314.0
2019-01-10 03:00:00,US48,D,501693,megawatthours,501693.0
2019-01-10 04:00:00,US48,D,483025,megawatthours,483025.0
2019-01-10 05:00:00,US48,D,462737,megawatthours,462737.0
2019-01-10 06:00:00,US48,D,446982,megawatthours,446982.0
2019-01-10 07:00:00,US48,D,436324,megawatthours,436324.0
2019-01-10 08:00:00,US48,D,429733,megawatthours,429733.0
2019-01-10 09:00:00,US48,D,428375,megawatthours,428375.0
2019-01-10 10:00:00,US48,D,433200,megawatthours,433200.0
2019-01-10 11:00:00,US48,D,448547,megawatthours,448547.0
2019-01-10 12:00:00,US48,D,481449,megawatthours,481449.0
2019-01-10 13:00:00,US48,D,512640,megawatthours,512640.0
2019-01-10 14:00:00,US48,D,522639,megawatthours,522639.0
2019-01-10 15:00:00,US48,D,519864,megawatthours,519864.0
2019-01-10 16:00:00,US48,D,512932,megawatthours,512932.0
2019-01-10 17:00:00,US48,D,502333,megawatthours,502333.0
2019-01-10 18:00:00,US48,D,490977,megawatthours,490977.0
2019-01-10 19:00:00,US48,D,480840,megawatthours,480840.0
2019-01-10 20:00:00,US48,D,474625,megawatthours,474625.0
2019-01-10 21:00:00,US48,D,471458,megawatthours,471458.0
2019-01-10 22:00:00,US48,D,475742,megawatthours,475742.0
2019-01-10 23:00:00,US48,D,493249,megawatthours,493249.0
2019-01-11 00:00:00,US48,D,513008,megawatthours,513008.0
2019-01-11 01:00:00,US48,D,522890,megawatthours,522890.0
2019-01-11 02:00:00,US48,D,524872,megawatthours,524872.0
2019-01-11 03:00:00,US48,D,515897,megawatthours,515897.0
2019-01-11 04:00:00,US48,D,496997,megawatthours,496997.0
2019-01-11 05:00:00,US48,D,476032,megawatthours,476032.0
2019-01-11 06:00:00,US48,D,459596,megawatthours,459596.0
2019-01-11 07:00:00,US48,D,449733,megawatthours,449733.0
2019-01-11 08:00:00,US48,D,442042,megawatthours,442042.0
2019-01-11 09:00:00,US48,D,441202,megawatthours,441202.0
2019-01-11 10:00:00,US48,D,445282,megawatthours,445282.0
2019-01-11 11:00:00,US48,D,460036,megawatthours,460036.0
